mission_status,title,launch_time,description,article_link,location,videos,rocket_data.rocket_name,rocket_data.image_url,rocket_data.image_credit,rocket_data.status,rocket_data.payload_to_leo,rocket_data.stages,rocket_data.strap-ons,rocket_data.rocket_height,rocket_data.fairing_diameter,rocket_data.rocket_details_link,rocket_data.rocket_id,rocket_data.payload_to_gto,rocket_data.price,rocket_data.liftoff_thrust,rocket_data.fairing_height,mission_data.title,mission_data.description,mission_data.orbit,mission_data.payloads,mission_data.total_mass
,Hera,"Mon Oct 07, 2024 14:52 UTC",,,"SLC-40, Cape Canaveral SFS, Florida, USA",{'24/7 Livestream': 'https://www.youtube.com/watch?v=Jm8wRjD3xVA'},Falcon 9 Block 5,https://storage.googleapis.com/nextspaceflight/media/rockets/Falcon_9_Block_5.webp,Image Credit: SpaceX,Active,"22,800 kg",2,0,70.0 m,5.2 m,/rockets/3,3,"8,300 kg",$69.75 million,"7,607 kN",13.0 m,Hera,Hera is a space mission of the European Space Agency whose objective is to validate the kinetic impact method to deflect a possible asteroid circulating on a collision course with the Earth. The satellite will study the results obtained by the DART impactor developed by NASA which successfully crashed into the Dimorphos asteroid in September 2022.,Heliocentric Orbit,1,"1,081.0 kg"
,Europa Clipper,"Thu Oct 10, 2024 16:31 UTC",,,"LC-39A, Kennedy Space Center, Florida, USA","{'Official Livestream': 'https://www.youtube.com/watch?v=lQToTWKwtuw', '24/7 Livestream': 'https://www.youtube.com/watch?v=Jm8wRjD3xVA'}",Falcon Heavy,https://storage.googleapis.com/nextspaceflight/media/rockets/Falcon%20Heavy%20Block%205.webp,Image Credit: SpaceX,Active,"63,800 kg",2,2,70.0 m,5.2 m,/rockets/104,104,"26,700 kg",$97.0 million,"22,819 kN",13.0 m,Europa Clipper,"Europa Clipper will conduct a detailed survey of Europa and use a sophisticated suite of science instruments to investigate whether the icy moon has conditions suitable for life. Key mission objectives are to produce high-resolution images of Europa's surface, determine its composition, look for signs of recent or ongoing geological activity, measure the thickness of the moon’s icy shell, search for subsurface lakes, and determine the depth and salinity of Europa's ocean.",Heliocentric Orbit,1,"6,065.0 kg"
,Kirameki 3,"Sun Oct 20, 2024 06:42 UTC",,,"LA-Y2, Tanegashima Space Center, Japan",,H3-22S,https://storage.googleapis.com/nextspaceflight/media/rockets/H3-22.webp,Image Credit: JAXA,Active,,2,2,63.0 m,5.27 m,/rockets/105,105,"4,000 kg",$50.0 million,"7,542 kN",10.3 m,Kirameki 3,"DSN-3, also known as Kirameki 3, is a geostationary communications satellite to be operated by DSN Corporation, a subsidiary of SKY Perfect JSAT Group. Its payload is a pure X band and will be used for military communications by the Japanese military.",Geostationary Transfer Orbit,1,
,USSF-106,"NET October, 2024",First Vulcan rocket to support a NSSL mission.,,"SLC-41, Cape Canaveral SFS, Florida, USA",{'24/7 Livestream': 'https://www.youtube.com/watch?v=Jm8wRjD3xVA'},Vulcan Centaur,https://storage.googleapis.com/nextspaceflight/media/rockets/Vulcan_Centaur.webp,,Active,,2,,,5.4 m,/rockets/70,70,,,,,NTS-3,"NTS-3 (Navigation Technology Satellite 3) is a demonstration navigation satellite. NTS-3 will experiment with a new digital signal generator that can be reprogrammed on-orbit, enabling it to broadcast new signals, improve performance by avoiding and defeating interference, and adding signatures for detecting spoofing attacks.",Geosynchronous Orbit,1,"1,250.0 kg"
,CRS SpX-31,"NET October, 2024",,,"SLC-40, Cape Canaveral SFS, Florida, USA",{'24/7 Livestream': 'https://www.youtube.com/watch?v=Jm8wRjD3xVA'},Falcon 9 Block 5,https://storage.googleapis.com/nextspaceflight/media/rockets/Falcon_9_Block_5.webp,Image Credit: SpaceX,Active,"22,800 kg",2,0,70.0 m,5.2 m,/rockets/3,3,"8,300 kg",$69.75 million,"7,607 kN",13.0 m,CRS SpX-31,SpaceX CRS-31 is a Commercial Resupply Service mission to the International Space Station. The mission is contracted by NASA and will be flown by SpaceX using a Cargo Dragon.,Low Earth Orbit,1,
,Koreasat 6A,"NET October, 2024",,,"SLC-40, Cape Canaveral SFS, Florida, USA",{'24/7 Livestream': 'https://www.youtube.com/watch?v=Jm8wRjD3xVA'},Falcon 9 Block 5,https://storage.googleapis.com/nextspaceflight/media/rockets/Falcon_9_Block_5.webp,Image Credit: SpaceX,Active,"22,800 kg",2,0,70.0 m,5.2 m,/rockets/3,3,"8,300 kg",$69.75 million,"7,607 kN",13.0 m,Koreasat 6A,"The Koreasat 6A spacecraft, built by Thales Alenia Space, will have 20 transponders for fixed satellite services and six for TV broadcasting to replace the Koreasat 6 launched in 2010.",Geostationary Transfer Orbit,1,"3,500.0 kg"
,Lockheed Martin Demo 1,"NET October, 2024",,,"SLC-2W, Vandenberg SFB, California, USA",,Alpha,https://storage.googleapis.com/nextspaceflight/media/rockets/Alpha.webp,Image Credit: Firefly Aerospace,Active,"1,030 kg",2,0,29.48 m,2.2 m,/rockets/62,62,,$15.0 million,801 kN,5.0 m,Lockheed Martin Demo 1,First of up to 25 launches of Low Earth Orbit technology demonstration satellites to be built and operated by Lockheed Martin. Launch operation will also again demonstrate responsive space pre-launch operation capabilities.,Low Earth Orbit,,
,SXM-9,"NET October, 2024",,,"SLC-40 or LC-39A, Florida, USA",{'24/7 Livestream': 'https://www.youtube.com/watch?v=Jm8wRjD3xVA'},Falcon 9 Block 5,https://storage.googleapis.com/nextspaceflight/media/rockets/Falcon_9_Block_5.webp,Image Credit: SpaceX,Active,"22,800 kg",2,0,70.0 m,5.2 m,/rockets/3,3,"8,300 kg",$69.75 million,"7,607 kN",13.0 m,SXM-9,"SXM-9 is the 10th high-powered, digital, audio radio satellite built by Maxar (SSL) for SiriusXM. The SXM-9 satellite will be based on Maxar’s proven 1300-class platform and built at the company’s manufacturing facility in Palo Alto, California. It is expected that SXM-9 will launch in 2024.  SXM-9 has a large, mesh, unfurlable reflector almost 10 meters in diameter that allows SiriusXM programming to reach its radios, including those in moving vehicles.",Geostationary Transfer Orbit,1,
,"Ionosfera-M n°1, 2 & Others","NET Nov 5, 2024",,,"Site 1S, Vostochny Cosmodrome, Russia",,Soyuz 2.1b/Fregat-M,https://storage.googleapis.com/nextspaceflight/media/rockets/Soyuz_2.1b-Fregat-M.webp,Image Credit: Roscosmos,Active,"7,500 kg",4,4,46.94 m,4.11 m,/rockets/142,142,"3,250 kg",$25.0 million,"4,550 kN",11.43 m,Ionosfera-M n°1 & 2,Ionosfera is a constellation of four ionospheric and magnetospheric research satellites developed by for Roscosmos for the project Ionozond.,Sun-Synchronous Orbit,2,400.0 kg
,Progress MS-29,"NET Nov 21, 2024",,,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",,Soyuz 2.1a,https://storage.googleapis.com/nextspaceflight/media/rockets/Soyuz_2.1a_Crew.webp,Image Credit: Roscosmos,Active,"7,500 kg",3,4,51.38 m,4.11 m,/rockets/141,141,0 kg,$17.42 million,"4,550 kN",15.59 m,Progress MS-29,"Progress (in Russian: ""Прогресс"") MS-29 is a Russian cargo vehicle which will resupply the International Space Station. This will be the 182nd flight of a Progress.",Low Earth Orbit,1,"7,280.0 kg"
,PROBA 3,"NET November, 2024",,,"First Launch Pad, Satish Dhawan Space Centre, India",,PSLV-XL,https://storage.googleapis.com/nextspaceflight/media/rockets/PSLV_XL.webp,,Active,"3,250 kg",4,6,44.0 m,3.2 m,/rockets/34,34,"1,410 kg",$31.0 million,"7,661 kN",8.3 m,PROBA 3,"PROBA-3 will be composed of two independent, three-axis stabilized spacecraft flying 150 meters from one another with the ability to accurately control the attitude and separation of the two craft. It will be maintained for 6 hours, creating ″artificial solar eclipse″ for the satellite below. The spacecraft pair will fly a highly elliptical orbit divided between periods of accurate formation flying around apogee, when payload operations will be possible, and periods of free flight. The length of the formation control period will be a trade-off involving the increasing amount of fuel needed to maintain the orbits in formation when away from apogee.",,2,550.0 kg
,GSAT-20 (GSAT-N2),"NET November, 2024",,,"SLC-40 or LC-39A, Florida, USA",{'24/7 Livestream': 'https://www.youtube.com/watch?v=Jm8wRjD3xVA'},Falcon 9 Block 5,https://storage.googleapis.com/nextspaceflight/media/rockets/Falcon_9_Block_5.webp,Image Credit: SpaceX,Active,"22,800 kg",2,0,70.0 m,5.2 m,/rockets/3,3,"8,300 kg",$69.75 million,"7,607 kN",13.0 m,GSAT-20 (GSAT-N2),GSAT-20 is a communication satellite jointly being developed by Indian Space Research Organisation Satellite Centre and Liquid Propulsion Systems Centre. GSAT-20 will be a continuation of GSAT series of communication satellites. The satellite is intended to add data transmission capacity to the communication infrastructure required by Smart Cities Mission of India.,Geostationary Transfer Orbit,1,"4,700.0 kg"
,Demo Flight,"NET November, 2024",,,"Wenchang Space Launch Site, China",,Pallas 1,https://storage.googleapis.com/nextspaceflight/media/rockets/Pallas_1.webp,Image Credit: Galactic Energy,Planned,"4,000 kg",2,0,42.0 m,3.15 m,/rockets/286,286,0 kg,,"2,746 kN",6.3 m,Demo Flight,"Demo Flight, cargo unknown",,,
,Sentinel-1C,"NET November, 2024","Originally intended to launch on the Russian Soyuz launch vehicle, due to geopolitical factors this is no longer an option. ESA instead opted to launch aboard Vega-C.",,"ELV, Guiana Space Centre, French Guiana, France",,Vega C,https://storage.googleapis.com/nextspaceflight/media/rockets/Vega-C.webp,,Active,"2,300 kg",4,0,35.0 m,3.3 m,/rockets/31,31,,,"4,500 kN",9.0 m,Sentinel-1C,"Sentinel-1C will provide all-weather, day, and night radar imaging for land and ocean services.",Sun-Synchronous Orbit,1,"2,300.0 kg"
,Kondor-FKA n°2,"NET Nov 30, 2024",,,"Site 1S, Vostochny Cosmodrome, Russia",,Soyuz 2.1a/Fregat-M,https://storage.googleapis.com/nextspaceflight/media/rockets/Soyuz_2.1a_Fregat-M.webp,Image Credit: Roscosmos,Active,"7,020 kg",4,4,46.94 m,4.11 m,/rockets/141,141,"2,810 kg",$23.0 million,"4,550 kN",10.2 m,Kondor-FKA n°2,The Kondor-FKA is a small civilian radar Earth observation satellite designed by NPO Mashinostroyeniya as a civilian counterpart to the Kondor-E satellite.,Sun-Synchronous Orbit,1,"1,100.0 kg"
,Blue Ghost Mission 1,"NET November, 2024",,,"SLC-40 or LC-39A, Florida, USA",{'24/7 Livestream': 'https://www.youtube.com/watch?v=Jm8wRjD3xVA'},Falcon 9 Block 5,https://storage.googleapis.com/nextspaceflight/media/rockets/Falcon_9_Block_5.webp,Image Credit: SpaceX,Active,"22,800 kg",2,0,70.0 m,5.2 m,/rockets/3,3,"8,300 kg",$69.75 million,"7,607 kN",13.0 m,Blue Ghost Mission 1,Blue Ghost is a commercial lunar lander developed by Firefly Aerospace for NASA’s CLPS program. Blue Ghost is designed to bring up to 155kg of payload to the lunar surface. It will land at Mare Crisium in the Crisium Basin and is designed to last 14 days before freezing in the lunar night.,,,
,WorldView Legion 5 & 6,"NET November, 2024",,,"SLC-40 or LC-39A, Florida, USA",{'24/7 Livestream': 'https://www.youtube.com/watch?v=Jm8wRjD3xVA'},Falcon 9 Block 5,https://storage.googleapis.com/nextspaceflight/media/rockets/Falcon_9_Block_5.webp,Image Credit: SpaceX,Active,"22,800 kg",2,0,70.0 m,5.2 m,/rockets/3,3,"8,300 kg",$69.75 million,"7,607 kN",13.0 m,WorldView Legion 5 & 6,"Currently being built by SSL, WorldView-Legion is DigitalGlobe's next generation of earth observation satellites.",Low Earth Orbit,2,"1,500.0 kg"
,Transporter 12,"NET November, 2024",,,"SLC-4E, Vandenberg SFB, California, USA",,Falcon 9 Block 5,https://storage.googleapis.com/nextspaceflight/media/rockets/Falcon_9_Block_5.webp,Image Credit: SpaceX,Active,"22,800 kg",2,0,70.0 m,5.2 m,/rockets/3,3,"8,300 kg",$69.75 million,"7,607 kN",13.0 m,Transporter 12,"Transporter 12 is a dedicated rideshare mission by SpaceX. SpaceX’s SmallSat Rideshare Program provides small satellite operators with regularly scheduled, dedicated Falcon 9 rideshare missions to SSO for ESPA class payloads for as low as $300,000 per mission, which includes up to 50kg of payload mass.",Sun-Synchronous Orbit,,
,Shenzhou 19,"NET November, 2024",,,"Site 901 (SLS-1), Jiuquan Satellite Launch Center, China",,Long March 2F/G,https://storage.googleapis.com/nextspaceflight/media/rockets/Long_March_2FG_rocket.webp,Image Credit: CASC,Active,"8,600 kg",2,4,58.34 m,3.6 m,/rockets/114,114,0 kg,,"5,985 kN",19.11 m,Shenzhou 19,"Shenzhou 19 (Chinese: 神舟十九号), the flight will mark the 14th crewed Chinese spaceflight and the nineteenth flight of the Shenzhou program. The spacecraft will carry three People's Liberation Army Astronaut Corps (PLAAC) taikonauts on the eighth flight to the Tianhe core module, the first module of the Tiangong space station.",Low Earth Orbit,1,"8,100.0 kg"
,Kinéis 11-15,"NET November, 2024",,,"Māhia Peninsula, New Zealand",,Electron/Curie,https://storage.googleapis.com/nextspaceflight/media/rockets/Electron_Curie.webp,Image Credit: Rocket Lab,Active,320 kg,3,0,18.0 m,1.2 m,/rockets/4,4,,$7.5 million,224 kN,4.05 m,Kinéis 11-15,"Third batch of five satellites for the French Kinéis IoT constellation designed to operate with 25 nanosatellites of 30 kg each. The constellation will enable Kinéis, a company backed by private and public investors including the French government’s space agency CNES (Centre National d'Études Spatiales) and CLS (Collecte Localisation Satellites) an international space-based solutions provider, to improve its global IoT connectivity.",Low Earth Orbit,5,150.0 kg
,425 Project Flight 3,"NET November, 2024",,,"SLC-40 or LC-39A, Florida, USA",{'24/7 Livestream': 'https://www.youtube.com/watch?v=Jm8wRjD3xVA'},Falcon 9 Block 5,https://storage.googleapis.com/nextspaceflight/media/rockets/Falcon_9_Block_5.webp,Image Credit: SpaceX,Active,"22,800 kg",2,0,70.0 m,5.2 m,/rockets/3,3,"8,300 kg",$69.75 million,"7,607 kN",13.0 m,425 Project Flight 3,"Launch of the third satellite in a contract of 5 reconnaissance satellites for the South Korean Defense Acquisition Program Administration (DAPA), with 1 satellite featuring an electro-optical infrared (EO/IR) telescope. The other 4 synthetic aperture radar (SAR) satellites are to be launched at a later date.",Sun-Synchronous Orbit,1,800.0 kg
,Starship Flight 5,"NET November, 2024",Fifth flight of Starship and Super Heavy. Full mission profile has not been announced but it's thought to be similar to Flight 4.,,"Orbital Launch Pad A, Starbase, Texas, USA",{'24/7 Livestream': 'https://www.youtube.com/watch?v=mhJRzQsLZGg'},Starship-Super Heavy (Prototype),https://storage.googleapis.com/nextspaceflight/media/rockets/Starship-Super_Heavy_Prototype.webp,Image Credit: SpaceX,Active,,2,0,121.0 m,9.0 m,/rockets/174,174,,,"74,432 kN",,Starship Flight 5,Starship will attempt another flight test to demonstrate orbital launch capability.,,,
,Maiden Flight,"NET November, 2024",First launch of New Glenn.,,"LC-36, Cape Canaveral SFS, Florida, USA",{'24/7 Livestream': 'https://www.youtube.com/watch?v=Jm8wRjD3xVA'},New Glenn,https://storage.googleapis.com/nextspaceflight/media/rockets/New_Glenn.webp,Image Credit: Blue Origin,Planned,"45,000 kg",2,0,98.0 m,7.0 m,/rockets/67,67,"13,000 kg",,"17,150 kN",21.9 m,Maiden Flight,"Maiden flight of the New Glenn launch vehicle. Will carry the prototype Blue Ring payload tug and payload hoisting platform, in addition to serving as New Glenn's first National Security Space Launch certification flight.",,,
,NZSA Venus Mission,"NET Dec 30, 2024","First private Venus mission. First interplanetary mission launched on Electron, and from New Zealand.",,"Māhia Peninsula, New Zealand",,Electron/Explorer,https://storage.googleapis.com/nextspaceflight/media/rockets/Electron_Explorer.webp,Image Credit: Rocket Lab,Active,320 kg,3,0,18.0 m,1.2 m,/rockets/4,4,,$7.5 million,224 kN,4.05 m,NZSA Venus Mission,Rocket Lab will launch a scientific mission based on its Photon upper stage to Venus.,Heliocentric Orbit,1,
,CSO-3,"NET December, 2024","Originally intended to launch on the Russian Soyuz launch vehicle, due to geopolitical factors this is no longer an option. CNES & DGA instead opted to launch aboard Ariane 62.",,"ELA-4, Guiana Space Centre, French Guiana, France",,Ariane 62,https://storage.googleapis.com/nextspaceflight/media/rockets/Ariane_62.webp,Image Credit: Arianespace,Active,"10,350 kg",2,2,62.0 m,5.4 m,/rockets/92,92,"4,500 kg",$88.0 million,"8,370 kN",20.0 m,CSO-3,The French CSO (Composante Spatiale Optique) high-resolution reconnaissance satellites are the optical space component of the MUSIS program that will replace the current Hélios 2 military observation satellites.,Sun-Synchronous Orbit,1,"3,655.0 kg"
,Glonass-K2 n°14L,"NET December, 2024",,,"Plesetsk Cosmodrome, Russia",,Soyuz 2.1b/Fregat-M,https://storage.googleapis.com/nextspaceflight/media/rockets/Soyuz_2.1b-Fregat-M.webp,Image Credit: Roscosmos,Active,"7,500 kg",4,4,46.94 m,4.11 m,/rockets/142,142,"3,250 kg",$25.0 million,"4,550 kN",11.43 m,Glonass-K2 n°14L,"GLONASS-K is the latest satellite design intended as a part of the Russian GLONASS radio-based satellite navigation system. Developed by ISS Reshetnev (Reshetnev Information Satellite Systems) and first launched on 26 February 2011, it is a substantial improvement of the previous GLONASS-M second-generation satellites, having a longer lifespan and better accuracy.",Medium Earth Orbit,1,
,AIST-2T n°01 & 02,"NET December, 2024",,,"Site 1S, Vostochny Cosmodrome, Russia",,Soyuz 2.1a/Fregat-M,https://storage.googleapis.com/nextspaceflight/media/rockets/Soyuz_2.1a_Fregat-M.webp,Image Credit: Roscosmos,Active,"7,020 kg",4,4,46.94 m,4.11 m,/rockets/141,141,"2,810 kg",$23.0 million,"4,550 kN",10.2 m,,,,,
,USSF-87,"NET December, 2024",,,"SLC-41, Cape Canaveral SFS, Florida, USA",{'24/7 Livestream': 'https://www.youtube.com/watch?v=Jm8wRjD3xVA'},Vulcan VC4S,https://storage.googleapis.com/nextspaceflight/media/rockets/Vulcan_VC4S.webp,Image Credit: ULA,Planned,"24,600 kg",2,4,61.6 m,5.4 m,/rockets/70,70,"11,693 kg",,"13,006 kN",15.5 m,USSF-87,USSF-87 is a classified mission for the United States Space Force.,,,
,CRS SpX-32,"NET December, 2024",,,"SLC-40 or LC-39A, Florida, USA",{'24/7 Livestream': 'https://www.youtube.com/watch?v=Jm8wRjD3xVA'},Falcon 9 Block 5,https://storage.googleapis.com/nextspaceflight/media/rockets/Falcon_9_Block_5.webp,Image Credit: SpaceX,Active,"22,800 kg",2,0,70.0 m,5.2 m,/rockets/3,3,"8,300 kg",$69.75 million,"7,607 kN",13.0 m,CRS SpX-32,SpaceX CRS-32 is a Commercial Resupply Service mission to the International Space Station. The mission is contracted by NASA and will be flown by SpaceX using a Cargo Dragon.,Low Earth Orbit,1,
,HAKUTO-R M2 “Resilience”,"NET December, 2024",,,"SLC-40 or LC-39A, Florida, USA",{'24/7 Livestream': 'https://www.youtube.com/watch?v=Jm8wRjD3xVA'},Falcon 9 Block 5,https://storage.googleapis.com/nextspaceflight/media/rockets/Falcon_9_Block_5.webp,Image Credit: SpaceX,Active,"22,800 kg",2,0,70.0 m,5.2 m,/rockets/3,3,"8,300 kg",$69.75 million,"7,607 kN",13.0 m,HAKUTO-R M2 “Resilience”,"HAKUTO-R is a multinational commercial lunar exploration program operated by ispace. It includes ispace's first two lunar missions, the second mission will perform a soft landing on the Moon and deployment of a rover developed by ispace in 2024. In addition to its studies on the moon's surface, the rover is expected to collect lunar regolith as part of a contract with NASA signed in 2020 in which companies will collect materials on the moon and then transfer ownership ""in situ"" to the agency.",,,
,SPAINSAT New Generation I,"NET December, 2024",,,"SLC-40 or LC-39A, Florida, USA",{'24/7 Livestream': 'https://www.youtube.com/watch?v=Jm8wRjD3xVA'},Falcon 9 Block 5,https://storage.googleapis.com/nextspaceflight/media/rockets/Falcon_9_Block_5.webp,Image Credit: SpaceX,Active,"22,800 kg",2,0,70.0 m,5.2 m,/rockets/3,3,"8,300 kg",$69.75 million,"7,607 kN",13.0 m,SPAINSAT New Generation I,"SPAINSAT NG is Hisdesat's largest project since its foundation. Its technological complexity and strategic relevance will position the company as an international benchmark in satellite communications. The new Spainsat NG generation will multiply by 16 times the capacity in X and Ka military band with respect to the current devices and will add a new payload in UHF band. In addition, it will operate with active X-band antennas in receive and transmit. Pioneers in the European aerospace sector, each of them will be assigned 16 different areas of operation to perform their coverage services with electronic configuration.",Geostationary Transfer Orbit,1,"6,100.0 kg"
,Bandwagon-2,"NET December, 2024",,,"SLC-40 or LC-39A, Florida, USA",{'24/7 Livestream': 'https://www.youtube.com/watch?v=Jm8wRjD3xVA'},Falcon 9 Block 5,https://storage.googleapis.com/nextspaceflight/media/rockets/Falcon_9_Block_5.webp,Image Credit: SpaceX,Active,"22,800 kg",2,0,70.0 m,5.2 m,/rockets/3,3,"8,300 kg",$69.75 million,"7,607 kN",13.0 m,Bandwagon-2,"Bandwagon-2 is a dedicated rideshare mission by SpaceX. SpaceX’s SmallSat Rideshare Program provides small satellite operators with regularly scheduled, dedicated Falcon 9 rideshare missions to mid-inclination orbits for ESPA class payloads for as low as $300,000 per mission, which includes up to 50kg of payload mass.",Low Earth Orbit,,
,Kinéis 16-20,"NET December, 2024",,,"Māhia Peninsula, New Zealand",,Electron/Curie,https://storage.googleapis.com/nextspaceflight/media/rockets/Electron_Curie.webp,Image Credit: Rocket Lab,Active,320 kg,3,0,18.0 m,1.2 m,/rockets/4,4,,$7.5 million,224 kN,4.05 m,Kinéis 16-20,"Fourth batch of five satellites for the French Kinéis IoT constellation designed to operate with 25 nanosatellites of 30 kg each. The constellation will enable Kinéis, a company backed by private and public investors including the French government’s space agency CNES (Centre National d'Études Spatiales) and CLS (Collecte Localisation Satellites) an international space-based solutions provider, to improve its global IoT connectivity.",Low Earth Orbit,5,150.0 kg
