name,image_url,status,price,liftoff_thrust,payload_to_leo,payload_to_gto,stages,strap-ons,rocket_height,fairing_diameter,fairing_height,rocket_id
Antares 130,https://storage.googleapis.com/nextspaceflight/media/rockets/Antares_130.webp,Retired,$80.0 million,"3,265 kN","5,100 kg",,2.0,0.0,40.5 m,3.94 m,9.87 m,26
Antares 230,https://storage.googleapis.com/nextspaceflight/media/rockets/Antares_230.webp,Retired,$85.0 million,"3,844 kN","7,000 kg",,2.0,0.0,41.9 m,3.9 m,9.9 m,26
Antares 230+,https://storage.googleapis.com/nextspaceflight/media/rockets/Antares_230_plus.webp,Retired,$85.0 million,"3,844 kN","8,000 kg",,2.0,0.0,42.5 m,3.9 m,9.9 m,26
Antares 330,https://storage.googleapis.com/nextspaceflight/media/rockets/Antares_330.webp,Planned,,"7,161 kN","10,800 kg",,2.0,0.0,47.0 m,3.0 m,9.0 m,26
Ariane 1,https://storage.googleapis.com/nextspaceflight/media/rockets/Ariane_1.webp,Retired,,"2,772 kN","4,850 kg","1,850 kg",4.0,0.0,47.4 m,,,9
Ariane 2,https://storage.googleapis.com/nextspaceflight/media/rockets/Ariane_2.webp,Retired,,"2,580 kN",,"2,175 kg",3.0,0.0,49.0 m,,,88
Ariane 3,https://storage.googleapis.com/nextspaceflight/media/rockets/Ariane_3.webp,Retired,,"5,100 kN",,"2,700 kg",3.0,2.0,49.0 m,,,89
Ariane 40,https://storage.googleapis.com/nextspaceflight/media/rockets/Ariane_40.webp,Retired,,"3,034 kN","5,000 kg","2,000 kg",3.0,0.0,58.72 m,,,90
Ariane 42L,https://storage.googleapis.com/nextspaceflight/media/rockets/Ariane_42L.webp,Retired,,"4,538 kN",,"3,480 kg",3.0,2.0,58.72 m,,,90
Ariane 42P,https://storage.googleapis.com/nextspaceflight/media/rockets/Ariane_42P.webp,Retired,,"4,334 kN",,"2,930 kg",3.0,2.0,58.72 m,,,90
Ariane 44L,https://storage.googleapis.com/nextspaceflight/media/rockets/Ariane_44L.webp,Retired,,"6,000 kN",,"4,720 kg",3.0,4.0,58.72 m,,,90
Ariane 44LP,https://storage.googleapis.com/nextspaceflight/media/rockets/Ariane_44LP.webp,Retired,,"5,800 kN",,"4,220 kg",3.0,4.0,58.72 m,,,90
Ariane 44P,https://storage.googleapis.com/nextspaceflight/media/rockets/Ariane_44P.webp,Retired,,"4,334 kN",,"3,460 kg",3.0,4.0,58.72 m,,,90
Ariane 5 ECA,https://storage.googleapis.com/nextspaceflight/media/rockets/Ariane_5_ECA.webp,Retired,$200.0 million,"15,120 kN","21,000 kg","10,500 kg",2.0,2.0,53.0 m,5.4 m,17.0 m,91
Ariane 5 ES,https://storage.googleapis.com/nextspaceflight/media/rockets/Ariane_5_ES.webp,Retired,,"15,120 kN","21,000 kg",,2.0,2.0,50.5 m,5.4 m,17.0 m,91
Ariane 5 G,https://storage.googleapis.com/nextspaceflight/media/rockets/Ariane_5_G.webp,Retired,,"11,400 kN",,"6,900 kg",2.0,2.0,52.0 m,,,91
Ariane 5 G+,https://storage.googleapis.com/nextspaceflight/media/rockets/Ariane_5_G_plus_rocket.webp,Retired,$190.0 million,,,"7,100 kg",2.0,2.0,,,,91
Ariane 5 GS,https://storage.googleapis.com/nextspaceflight/media/rockets/Ariane_5_GS.webp,Retired,,,,"6,600 kg",2.0,2.0,47.0 m,,,91
Ariane 62,https://storage.googleapis.com/nextspaceflight/media/rockets/Ariane_62.webp,Active,$88.0 million,"8,370 kN","10,350 kg","4,500 kg",2.0,2.0,62.0 m,5.4 m,20.0 m,92
Ariane 64,https://storage.googleapis.com/nextspaceflight/media/rockets/Ariane_64.webp,Active,$106.0 million,"15,370 kN","21,650 kg","11,500 kg",2.0,4.0,62.0 m,5.4 m,20.0 m,92
Ariane 64/Icarus,https://storage.googleapis.com/nextspaceflight/media/rockets/Ariane_64_Icarus.webp,Planned,$100.0 million,"15,370 kN","25,000 kg","15,000 kg",2.0,4.0,63.0 m,5.4 m,20.0 m,92
ASLV,https://storage.googleapis.com/nextspaceflight/media/rockets/ASLV.webp,Retired,,"1,005 kN",150 kg,,5.0,2.0,24.0 m,1.0 m,,33
Athena I,https://storage.googleapis.com/nextspaceflight/media/rockets/Athena_I.webp,Retired,,"1,900 kN",820 kg,,3.0,,18.9 m,,,68
Athena II,https://storage.googleapis.com/nextspaceflight/media/rockets/Athena_II.webp,Retired,,"1,900 kN",,593 kg,4.0,,28.2 m,,,93
Atlas-D Able,https://storage.googleapis.com/nextspaceflight/media/rockets/Atlas-D_Able.webp,Retired,,"1,880 kN",,,3.0,0.0,35.0 m,,,204
Atlas-E/F Agena D,https://storage.googleapis.com/nextspaceflight/media/rockets/Atlas-EF_Agena_D.webp,Retired,,,,,2.0,0.0,,,,205
Atlas-LV3 Agena-A,https://storage.googleapis.com/nextspaceflight/media/rockets/Atlas-LV3_Agena-A.webp,Retired,,,"1,250 kg",,2.0,0.0,,,,205
Atlas-LV3 Agena-B,https://storage.googleapis.com/nextspaceflight/media/rockets/Atlas-LV3_Agena-B.webp,Retired,,,"1,725 kg",,2.0,0.0,,,,205
Atlas-LV3 Agena-D,https://storage.googleapis.com/nextspaceflight/media/rockets/Atlas-LV3_Agena-D.webp,Retired,,,,,2.0,0.0,,,,205
Atlas-SLV3A Agena-D,https://storage.googleapis.com/nextspaceflight/media/rockets/Atlas-SLV3A_Agena-D.webp,Retired,,,,,2.0,0.0,,,,205
Atlas-SLV3 Agena-B,https://storage.googleapis.com/nextspaceflight/media/rockets/Atlas-SLV3_Agena-B.webp,Retired,,,,,2.0,0.0,,,,205
Atlas-SLV3 Agena-D,https://storage.googleapis.com/nextspaceflight/media/rockets/Atlas-SLV3_Agena-D.webp,Retired,,,"1,825 kg",,2.0,0.0,,,,205
Atlas-SLV3B Agena-D,https://storage.googleapis.com/nextspaceflight/media/rockets/Atlas-SLV3B_Agena-D.webp,Retired,,,,,2.0,0.0,,,,205
Atlas-E/F Altair,https://storage.googleapis.com/nextspaceflight/media/rockets/Atlas-EF_Altair.webp,Retired,,,210 kg,,2.0,0.0,,,,181
Atlas-E/F Burner,https://storage.googleapis.com/nextspaceflight/media/rockets/Atlas-EF_Burner.webp,Retired,,,950 kg,,2.0,0.0,,,,220
Atlas-SLV3 Burner-2,https://storage.googleapis.com/nextspaceflight/media/rockets/Atlas-SLV3_Burner-2.webp,Retired,,,,,2.0,0.0,,,,220
Atlas-G Centaur-D1AR,https://storage.googleapis.com/nextspaceflight/media/rockets/Atlas-G_Centaur-D1AR.webp,Retired,,,"5,900 kg","2,222 kg",2.0,0.0,,,,222
Atlas-LV3C Centaur-A,https://storage.googleapis.com/nextspaceflight/media/rockets/Atlas-LV3C_Centaur-A.webp,Retired,,,,,2.0,0.0,,,,222
Atlas-LV3C Centaur-B,https://storage.googleapis.com/nextspaceflight/media/rockets/Atlas-LV3C_Centaur-B.webp,Retired,,,,,2.0,0.0,,,,222
Atlas-LV3C Centaur-C,https://storage.googleapis.com/nextspaceflight/media/rockets/Atlas-LV3C_Centaur-C.webp,Retired,,,,,2.0,0.0,,,,222
Atlas-LV3C Centaur-D,https://storage.googleapis.com/nextspaceflight/media/rockets/Atlas-LV3C_Centaur-D.webp,Retired,,,,,2.0,0.0,,,,222
Atlas-SLV3C Centaur-D,https://storage.googleapis.com/nextspaceflight/media/rockets/Atlas-SLV3C_Centaur-D.webp,Retired,,,,,2.0,0.0,,,,222
Atlas-SLV3D Centaur-D1A,https://storage.googleapis.com/nextspaceflight/media/rockets/Atlas-SLV3D_Centaur-D1A.webp,Retired,,,,,2.0,0.0,,,,222
Atlas-SLV3D Centaur-D1AR,https://storage.googleapis.com/nextspaceflight/media/rockets/Atlas-SLV3D_Centaur-D1AR.webp,Retired,,,,,2.0,0.0,,,,222
Atlas I,https://storage.googleapis.com/nextspaceflight/media/rockets/Atlas_I.webp,Retired,,,,,2.0,0.0,43.9 m,,,229
Atlas II,https://storage.googleapis.com/nextspaceflight/media/rockets/Atlas_II.webp,Retired,,"2,479 kN","6,580 kg","2,810 kg",2.0,0.0,47.5 m,,,228
Atlas IIA,https://storage.googleapis.com/nextspaceflight/media/rockets/Atlas_IIA.webp,Retired,,"2,479 kN","7,316 kg","3,180 kg",2.0,0.0,47.5 m,,,228
Atlas IIAS,https://storage.googleapis.com/nextspaceflight/media/rockets/Atlas_IIAS.webp,Retired,,"2,957 kN","8,618 kg","3,933 kg",2.0,4.0,47.5 m,,,228
Atlas IIIA,https://storage.googleapis.com/nextspaceflight/media/rockets/Atlas_IIIA.webp,Retired,,"3,826 kN","8,640 kg","4,055 kg",2.0,0.0,52.8 m,4.2 m,12.2 m,95
Atlas IIIB,https://storage.googleapis.com/nextspaceflight/media/rockets/Atlas_IIIB.webp,Retired,,"3,826 kN","10,218 kg","4,500 kg",2.0,0.0,52.8 m,4.2 m,12.2 m,95
Atlas-D Mercury,https://storage.googleapis.com/nextspaceflight/media/rockets/Atlas-D_Mercury.webp,Retired,,"1,880 kN","1,360 kg",,2.0,0.0,28.7 m,,,94
Atlas-E/F MSD,https://storage.googleapis.com/nextspaceflight/media/rockets/Atlas-EF_MSD.webp,Retired,,,800 kg,,2.0,0.0,,,,232
Atlas-H MSD,https://storage.googleapis.com/nextspaceflight/media/rockets/Atlas-H_MSD.webp,Retired,,,,,2.0,0.0,,,,232
Atlas-E/F OIS,https://storage.googleapis.com/nextspaceflight/media/rockets/Atlas-EF_OIS.webp,Retired,,,870 kg,,2.0,0.0,,,,233
Atlas-D OV1,https://storage.googleapis.com/nextspaceflight/media/rockets/Atlas-D_OV1.webp,Retired,,"1,880 kN",,,2.0,0.0,,,,212
Atlas-E/F OV1,https://storage.googleapis.com/nextspaceflight/media/rockets/Atlas-EF_OV1.webp,Retired,,,363 kg,,2.0,0.0,,,,212
Atlas-E/F PTS,https://storage.googleapis.com/nextspaceflight/media/rockets/Atlas-EF_PTS.webp,Retired,,,295 kg,,2.0,0.0,,,,234
Atlas-E/F SGS-1,https://storage.googleapis.com/nextspaceflight/media/rockets/Atlas-EF_SGS-1.webp,Retired,,,,,3.0,0.0,,,,235
Atlas-E/F SGS-2,https://storage.googleapis.com/nextspaceflight/media/rockets/Atlas-EF_SGS-2.webp,Retired,,,,,3.0,0.0,,,,235
Atlas SLV-3,https://storage.googleapis.com/nextspaceflight/media/rockets/Atlas_SLV-3.webp,Retired,,,800 kg,,,0.0,,,,213
Atlas-E/F Star-17A,https://storage.googleapis.com/nextspaceflight/media/rockets/Atlas-EF_Star-17A.webp,Retired,,,,,2.0,0.0,,,,236
Atlas-E/F Star-37S-ISS,https://storage.googleapis.com/nextspaceflight/media/rockets/Atlas-EF_Star-37S-ISS.webp,Retired,,,,,2.0,0.0,,,,236
Atlas V 401,https://storage.googleapis.com/nextspaceflight/media/rockets/Atlas-V-401.webp,Retired,$109.0 million,"3,826 kN","9,797 kg","4,750 kg",2.0,0.0,58.3 m,4.2 m,13.8 m,25
Atlas V 411,https://storage.googleapis.com/nextspaceflight/media/rockets/Atlas_V_411.webp,Retired,$115.0 million,"5,489 kN","12,030 kg","5,950 kg",2.0,1.0,58.3 m,4.2 m,13.8 m,25
Atlas V 421,https://storage.googleapis.com/nextspaceflight/media/rockets/Atlas_V_421.webp,Retired,$123.0 million,"7,152 kN","13,600 kg","6,890 kg",2.0,2.0,58.3 m,4.2 m,13.8 m,25
Atlas V 431,https://storage.googleapis.com/nextspaceflight/media/rockets/Atlas_V_431.webp,Retired,$130.0 million,"8,815 kN","15,260 kg","7,700 kg",2.0,3.0,59.1 m,4.2 m,13.8 m,25
Atlas V 501,https://storage.googleapis.com/nextspaceflight/media/rockets/Atlas_V_501.webp,Retired,$120.0 million,"3,826 kN","8,210 kg","3,780 kg",2.0,0.0,62.2 m,5.4 m,26.5 m,25
Atlas V 511,https://storage.googleapis.com/nextspaceflight/media/rockets/Atlas_V_511.webp,Retired,$130.0 million,"5,489 kN","11,000 kg","5,250 kg",2.0,1.0,62.2 m,5.4 m,26.5 m,25
Atlas V 521,https://storage.googleapis.com/nextspaceflight/media/rockets/Atlas_V_521.webp,Retired,$135.0 million,"7,152 kN","13,500 kg","6,480 kg",2.0,2.0,62.2 m,5.4 m,26.5 m,25
Atlas V 531,https://storage.googleapis.com/nextspaceflight/media/rockets/Atlas_V_531.webp,Retired,$140.0 million,"8,815 kN","15,530 kg","7,450 kg",2.0,3.0,62.2 m,5.4 m,26.5 m,25
Atlas V 541,https://storage.googleapis.com/nextspaceflight/media/rockets/Atlas_V_541.webp,Retired,$145.0 million,"10,478 kN","17,410 kg","8,290 kg",2.0,4.0,62.2 m,5.4 m,26.5 m,25
Atlas V 551,https://storage.googleapis.com/nextspaceflight/media/rockets/Atlas_V_551.webp,Active,$153.0 million,"12,141 kN","18,850 kg","8,900 kg",2.0,5.0,62.2 m,5.4 m,26.5 m,25
Atlas V N22,https://storage.googleapis.com/nextspaceflight/media/rockets/Atlas_V_N22_rocket.webp,Active,,"7,152 kN","13,000 kg",,2.0,2.0,62.2 m,,,25
Black Arrow,https://storage.googleapis.com/nextspaceflight/media/rockets/black_arrow.webp,Retired,,256 kN,135 kg,,3.0,,13.0 m,,,64
Blue Scout II,https://storage.googleapis.com/nextspaceflight/media/rockets/Blue_Scout_II.webp,Retired,,471 kN,,,4.0,0.0,24.0 m,,,211
Ceres 1,https://storage.googleapis.com/nextspaceflight/media/rockets/Ceres-1.webp,Active,$4.38 million,588 kN,400 kg,0 kg,4.0,0.0,19.0 m,1.4 m,2.5 m,225
Ceres 1S,https://storage.googleapis.com/nextspaceflight/media/rockets/Ceres-1S.webp,Active,$4.38 million,588 kN,400 kg,0 kg,4.0,0.0,19.0 m,1.4 m,2.5 m,225
Chŏllima 1,https://storage.googleapis.com/nextspaceflight/media/rockets/Ch%C5%8Fllima.webp,Active,,,,,,0.0,,,,288
Conestoga 1620,https://storage.googleapis.com/nextspaceflight/media/rockets/Conestoga-1620.webp,Retired,$20.0 million,,"1,179 kg",,4.0,6.0,,,,184
Cosmos-1 (65S3),https://storage.googleapis.com/nextspaceflight/media/rockets/Cosmos-1_65S3.webp,Retired,,636 kN,350 kg,0 kg,2.0,0.0,29.59 m,1.65 m,2.99 m,208
Cosmos-2 (63SM),https://storage.googleapis.com/nextspaceflight/media/rockets/Cosmos-2_63SM.webp,Retired,,636 kN,400 kg,0 kg,2.0,0.0,29.59 m,1.65 m,2.99 m,209
Cosmos-3,https://storage.googleapis.com/nextspaceflight/media/rockets/Cosmos-3.webp,Retired,,"1,481 kN","1,250 kg",0 kg,2.0,0.0,32.42 m,2.44 m,5.72 m,135
Cosmos-3M,https://storage.googleapis.com/nextspaceflight/media/rockets/Cosmos-3M.webp,Retired,,"1,486 kN","1,500 kg",0 kg,2.0,0.0,32.42 m,2.44 m,5.72 m,135
K65M-RB5,https://storage.googleapis.com/nextspaceflight/media/rockets/default.jpg,Retired,,"1,486 kN","1,300 kg",0 kg,2.0,0.0,26.0 m,2.44 m,5.72 m,135
Tsyklon-4M,https://storage.googleapis.com/nextspaceflight/media/rockets/Tsyklon-4M.webp,Planned,$45.0 million,"3,111 kN","5,000 kg",910 kg,2.0,0.0,38.7 m,4.0 m,9.7 m,215
Delta 300,https://storage.googleapis.com/nextspaceflight/media/rockets/Delta_300.webp,Retired,,,,,2.0,3.0,,,,267
Delta 900,https://storage.googleapis.com/nextspaceflight/media/rockets/Delta_900.webp,Retired,,,,,2.0,9.0,,,,267
Delta 1410,https://storage.googleapis.com/nextspaceflight/media/rockets/Delta_1410.webp,Retired,,,,,2.0,4.0,,,,263
Delta 1604,https://storage.googleapis.com/nextspaceflight/media/rockets/Delta_1604.webp,Retired,,,,,3.0,6.0,,,,263
Delta 1900,https://storage.googleapis.com/nextspaceflight/media/rockets/Delta_1900.webp,Retired,,,"1,800 kg",,2.0,9.0,,,,263
Delta 1910,https://storage.googleapis.com/nextspaceflight/media/rockets/Delta_1910.webp,Retired,,,,,2.0,9.0,,,,263
Delta 1913,https://storage.googleapis.com/nextspaceflight/media/rockets/Delta_1913.webp,Retired,,,,,3.0,9.0,,,,263
Delta 1914,https://storage.googleapis.com/nextspaceflight/media/rockets/Delta_1914.webp,Retired,,,,680 kg,3.0,9.0,,,,263
Delta 2310,https://storage.googleapis.com/nextspaceflight/media/rockets/Delta_2310.webp,Retired,,,,,2.0,3.0,,,,264
Delta 2313,https://storage.googleapis.com/nextspaceflight/media/rockets/Delta_2313.webp,Retired,,,,,3.0,3.0,,,,264
Delta 2910,https://storage.googleapis.com/nextspaceflight/media/rockets/Delta_2910.webp,Retired,,,"1,887 kg",,2.0,9.0,,,,264
Delta 2913,https://storage.googleapis.com/nextspaceflight/media/rockets/Delta_2913.webp,Retired,,,,,3.0,9.0,,,,264
Delta 2914,https://storage.googleapis.com/nextspaceflight/media/rockets/Delta_2914.webp,Retired,,,,724 kg,3.0,9.0,,,,264
Delta 3910,https://storage.googleapis.com/nextspaceflight/media/rockets/Delta_3910.webp,Retired,,,,"1,154 kg",2.0,9.0,,,,202
Delta 3913,https://storage.googleapis.com/nextspaceflight/media/rockets/Delta_3913.webp,Retired,,,,,3.0,9.0,,,,202
Delta 3914,https://storage.googleapis.com/nextspaceflight/media/rockets/Delta_3914.webp,Retired,,,,954 kg,3.0,9.0,,,,202
Delta 3920,https://storage.googleapis.com/nextspaceflight/media/rockets/Delta_3920.webp,Retired,,,"3,452 kg",,2.0,9.0,,,,202
Delta 3920-8,https://storage.googleapis.com/nextspaceflight/media/rockets/Delta_3920-8.webp,Retired,,"3,188 kN",,,2.0,9.0,,2.9 m,,202
Delta 3924,https://storage.googleapis.com/nextspaceflight/media/rockets/Delta_3924.webp,Retired,,,,"1,104 kg",3.0,9.0,,,,202
Delta 4925-8,https://storage.googleapis.com/nextspaceflight/media/rockets/Delta_4925-8.webp,Retired,,"3,469 kN","3,400 kg","1,200 kg",3.0,9.0,34.0 m,2.44 m,,169
Delta 5920-8,https://storage.googleapis.com/nextspaceflight/media/rockets/Delta_5920-8.webp,Retired,,,"3,849 kg",,2.0,9.0,,,,265
Delta A,https://storage.googleapis.com/nextspaceflight/media/rockets/Delta_A.webp,Retired,,,320 kg,68 kg,3.0,0.0,,,,244
Delta B,https://storage.googleapis.com/nextspaceflight/media/rockets/Delta_B.webp,Retired,,,375 kg,68 kg,3.0,0.0,,,,245
Delta C,https://storage.googleapis.com/nextspaceflight/media/rockets/Delta_C.webp,Retired,,667 kN,410 kg,82 kg,3.0,0.0,31.0 m,,,248
Delta C1,https://storage.googleapis.com/nextspaceflight/media/rockets/Delta_C1.webp,Retired,,,600 kg,,3.0,0.0,,,,248
Delta D,https://storage.googleapis.com/nextspaceflight/media/rockets/Delta_D.webp,Retired,,"1,725 kN",575 kg,104 kg,3.0,3.0,,,,254
Delta E,https://storage.googleapis.com/nextspaceflight/media/rockets/Delta_E.webp,Retired,,,735 kg,150 kg,3.0,3.0,,,,268
Delta E1,https://storage.googleapis.com/nextspaceflight/media/rockets/Delta_E1.webp,Retired,,,,205 kg,3.0,3.0,,,,268
Delta G,https://storage.googleapis.com/nextspaceflight/media/rockets/Delta_G.webp,Retired,,,,,2.0,3.0,,,,269
Delta II 6920-10,https://storage.googleapis.com/nextspaceflight/media/rockets/Delta_II_6920-10.webp,Retired,,"3,481 kN","3,950 kg",,2.0,9.0,38.9 m,3.0 m,8.9 m,7
Delta II 6920-8,https://storage.googleapis.com/nextspaceflight/media/rockets/Delta_II_6920-8.webp,Retired,,"3,481 kN","3,983 kg",,2.0,9.0,38.1 m,2.4 m,8.49 m,7
Delta II 6925,https://storage.googleapis.com/nextspaceflight/media/rockets/Delta_II_6925.webp,Retired,,"3,481 kN",,"1,447 kg",3.0,9.0,38.1 m,2.9 m,8.49 m,7
Delta II 6925-8,https://storage.googleapis.com/nextspaceflight/media/rockets/Delta_II_6925-8.webp,Retired,,"3,481 kN",,"1,460 kg",3.0,9.0,38.1 m,2.4 m,8.49 m,7
Delta II 7320-10C,https://storage.googleapis.com/nextspaceflight/media/rockets/Delta_II_7320-10C.webp,Retired,,"2,533 kN","2,703 kg",,2.0,3.0,38.9 m,3.0 m,8.9 m,7
Delta II 7326,https://storage.googleapis.com/nextspaceflight/media/rockets/Delta_II_7326.webp,Retired,,"2,533 kN",,934 kg,3.0,3.0,38.1 m,2.9 m,8.49 m,7
Delta II 7420-10C,https://storage.googleapis.com/nextspaceflight/media/rockets/Delta_II_7420-10C.webp,Retired,,"3,020 kN","3,099 kg",,2.0,4.0,38.9 m,3.0 m,8.9 m,7
Delta II 7425,https://storage.googleapis.com/nextspaceflight/media/rockets/Delta_II_7425.webp,Retired,,"3,020 kN",,"1,110 kg",3.0,4.0,38.1 m,2.9 m,8.49 m,7
Delta II 7425-10C,https://storage.googleapis.com/nextspaceflight/media/rockets/Delta_II_7425-10C.webp,Retired,,"3,020 kN",,"1,073 kg",3.0,4.0,38.9 m,3.0 m,8.9 m,7
Delta II 7426,https://storage.googleapis.com/nextspaceflight/media/rockets/Delta_II_7426.webp,Retired,,"3,020 kN",,"1,058 kg",3.0,4.0,38.1 m,2.9 m,8.49 m,7
Delta II 7920-10,https://storage.googleapis.com/nextspaceflight/media/rockets/Delta_II_7920-10.webp,Retired,,"3,511 kN","4,800 kg",,2.0,9.0,38.9 m,3.0 m,8.9 m,7
Delta II 7920-10C,https://storage.googleapis.com/nextspaceflight/media/rockets/Delta_II_7920-10C.webp,Retired,,"3,511 kN","4,844 kg",,2.0,9.0,38.9 m,3.0 m,8.9 m,7
Delta II 7920-10L,https://storage.googleapis.com/nextspaceflight/media/rockets/Delta_II_7920-10L.webp,Retired,,"3,511 kN","4,805 kg",,2.0,9.0,39.3 m,3.0 m,9.3 m,7
Delta II 7920-8,https://storage.googleapis.com/nextspaceflight/media/rockets/Delta_II_7920-8.webp,Retired,,"3,511 kN","5,000 kg",,2.0,9.0,38.1 m,2.4 m,8.49 m,7
Delta II 7920H,https://storage.googleapis.com/nextspaceflight/media/rockets/Delta_II_7920H.webp,Retired,,"4,398 kN","6,097 kg",,2.0,9.0,38.1 m,2.9 m,8.49 m,7
Delta II 7920H-10C,https://storage.googleapis.com/nextspaceflight/media/rockets/Delta_II_7920H-10C.webp,Retired,,"4,398 kN","5,959 kg",,2.0,9.0,38.9 m,3.0 m,8.9 m,7
Delta II 7925,https://storage.googleapis.com/nextspaceflight/media/rockets/Delta_II_7925.webp,Retired,,"3,511 kN",,"1,819 kg",3.0,9.0,38.1 m,2.9 m,8.49 m,7
Delta II 7925-10,https://storage.googleapis.com/nextspaceflight/media/rockets/Delta_II_7925-10.webp,Retired,,"3,511 kN",,"1,730 kg",3.0,9.0,38.9 m,3.0 m,8.9 m,7
Delta II 7925-10C,https://storage.googleapis.com/nextspaceflight/media/rockets/Delta_II_7925-10C.webp,Retired,,"3,511 kN",,"1,747 kg",3.0,9.0,38.9 m,3.0 m,8.9 m,7
Delta II 7925-10L,https://storage.googleapis.com/nextspaceflight/media/rockets/Delta_II_7925-10L.webp,Retired,,"3,511 kN",,"1,739 kg",3.0,9.0,39.3 m,3.0 m,9.3 m,7
Delta II 7925-8,https://storage.googleapis.com/nextspaceflight/media/rockets/Delta_II_7925-8.webp,Retired,,"3,511 kN",,"1,780 kg",3.0,9.0,38.1 m,2.4 m,8.49 m,7
Delta II 7925H,https://storage.googleapis.com/nextspaceflight/media/rockets/Delta_II_7925H.webp,Retired,,"4,398 kN",,"2,171 kg",3.0,9.0,38.1 m,2.9 m,8.49 m,7
Delta III 8930,https://storage.googleapis.com/nextspaceflight/media/rockets/Delta_III_8930.webp,Retired,,"4,856 kN","8,290 kg","3,810 kg",2.0,9.0,35.0 m,4.0 m,10.84 m,170
Delta IV Heavy,https://storage.googleapis.com/nextspaceflight/media/rockets/Delta_IV_Heavy.webp,Retired,$350.0 million,"9,411 kN","28,370 kg","13,810 kg",2.0,2.0,72.0 m,5.1 m,19.1 m,98
Delta IV Medium,https://storage.googleapis.com/nextspaceflight/media/rockets/Delta_IV_Medium.webp,Retired,$133.0 million,"3,137 kN","8,800 kg","4,540 kg",2.0,0.0,62.5 m,4.0 m,11.75 m,97
"Delta IV Medium+ (4,2)",https://storage.googleapis.com/nextspaceflight/media/rockets/Delta_IV_Medium_42.webp,Retired,$164.0 million,"4,895 kN","10,440 kg","6,390 kg",2.0,2.0,62.5 m,4.0 m,11.75 m,97
"Delta IV Medium+ (5,2)",https://storage.googleapis.com/nextspaceflight/media/rockets/Delta_IV_Medium_52.webp,Retired,,"4,895 kN","9,610 kg","5,080 kg",2.0,2.0,66.4 m,5.1 m,19.1 m,97
"Delta IV Medium+ (5,4)",https://storage.googleapis.com/nextspaceflight/media/rockets/Delta_IV_Medium_54.webp,Retired,,"6,653 kN","11,600 kg","6,890 kg",2.0,4.0,66.4 m,5.1 m,19.1 m,97
Delta J,https://storage.googleapis.com/nextspaceflight/media/rockets/Delta_J.webp,Retired,,,800 kg,263 kg,3.0,3.0,,,,270
Delta L,https://storage.googleapis.com/nextspaceflight/media/rockets/Delta_L.webp,Retired,,,998 kg,356 kg,3.0,3.0,,,,272
Delta M,https://storage.googleapis.com/nextspaceflight/media/rockets/Delta_M.webp,Retired,,,,356 kg,3.0,3.0,,,,266
Delta M6,https://storage.googleapis.com/nextspaceflight/media/rockets/Delta_M6.webp,Retired,,,"1,293 kg",454 kg,3.0,6.0,,,,266
Delta N,https://storage.googleapis.com/nextspaceflight/media/rockets/Delta_N.webp,Retired,,,900 kg,,2.0,3.0,,,,271
