mission_status,title,launch_time,description,videos,article_link,location,rocket_data.rocket_name,rocket_data.image_url,rocket_data.image_credit,rocket_data.status,rocket_data.price,rocket_data.liftoff_thrust,rocket_data.payload_to_leo,rocket_data.payload_to_gto,rocket_data.stages,rocket_data.strap-ons,rocket_data.rocket_height,rocket_data.fairing_diameter,rocket_data.fairing_height,rocket_data.rocket_details_link,rocket_data.rocket_id,mission_data.title,mission_data.description,mission_data.payloads,mission_data.total_mass,mission_data.orbit
,Thuraya 4-NGS,"NET November, 2024",,{'24/7 Livestream': 'https://www.youtube.com/watch?v=Jm8wRjD3xVA'},,"SLC-40 or LC-39A, Florida, USA",Falcon 9 Block 5,https://storage.googleapis.com/nextspaceflight/media/rockets/Falcon_9_Block_5.webp,Image Credit: SpaceX,Active,$69.75 million,"7,607 kN","22,800 kg","8,300 kg",2,0,70.0 m,5.2 m,13.0 m,/rockets/3,3,Thuraya 4-NGS,Thuraya 4-NGS is a communication satellite being built by Airbus Defense and Space for the UAE based Yahsat.,1,"5,000.0 kg",Geostationary Transfer Orbit
,Astranis Block 2 Mission,"NET November, 2024",,{'24/7 Livestream': 'https://www.youtube.com/watch?v=Jm8wRjD3xVA'},,"SLC-40 or LC-39A, Florida, USA",Falcon 9 Block 5,https://storage.googleapis.com/nextspaceflight/media/rockets/Falcon_9_Block_5.webp,Image Credit: SpaceX,Active,$69.75 million,"7,607 kN","22,800 kg","8,300 kg",2,0,70.0 m,5.2 m,13.0 m,/rockets/3,3,Astranis Block 2 Mission,"A SpaceX Falcon 9 will launch 4 MicroGEO satellites for Astranis. The satellites are designed to be much smaller than typical GEO sats and are therefore deployed closer to GEO, cutting down on the time between deployment and operation.",4,,Geostationary Earth Orbit
,WorldView Legion 5 & 6,"NET November, 2024",,{'24/7 Livestream': 'https://www.youtube.com/watch?v=Jm8wRjD3xVA'},,"SLC-40 or LC-39A, Florida, USA",Falcon 9 Block 5,https://storage.googleapis.com/nextspaceflight/media/rockets/Falcon_9_Block_5.webp,Image Credit: SpaceX,Active,$69.75 million,"7,607 kN","22,800 kg","8,300 kg",2,0,70.0 m,5.2 m,13.0 m,/rockets/3,3,WorldView Legion 5 & 6,"Currently being built by SSL, WorldView-Legion is DigitalGlobe's next generation of earth observation satellites.",2,"1,500.0 kg",Low Earth Orbit
,Transporter 12,"NET November, 2024",,,,"SLC-4E, Vandenberg SFB, California, USA",Falcon 9 Block 5,https://storage.googleapis.com/nextspaceflight/media/rockets/Falcon_9_Block_5.webp,Image Credit: SpaceX,Active,$69.75 million,"7,607 kN","22,800 kg","8,300 kg",2,0,70.0 m,5.2 m,13.0 m,/rockets/3,3,Transporter 12,"Transporter 12 is a dedicated rideshare mission by SpaceX. SpaceX’s SmallSat Rideshare Program provides small satellite operators with regularly scheduled, dedicated Falcon 9 rideshare missions to SSO for ESPA class payloads for as low as $300,000 per mission, which includes up to 50kg of payload mass.",,,Sun-Synchronous Orbit
,Koreasat 6A,"NET November, 2024",,{'24/7 Livestream': 'https://www.youtube.com/watch?v=Jm8wRjD3xVA'},,"SLC-40, Cape Canaveral SFS, Florida, USA",Falcon 9 Block 5,https://storage.googleapis.com/nextspaceflight/media/rockets/Falcon_9_Block_5.webp,Image Credit: SpaceX,Active,$69.75 million,"7,607 kN","22,800 kg","8,300 kg",2,0,70.0 m,5.2 m,13.0 m,/rockets/3,3,Koreasat 6A,"The Koreasat 6A spacecraft, built by Thales Alenia Space, will have 20 transponders for fixed satellite services and six for TV broadcasting to replace the Koreasat 6 launched in 2010.",1,"3,500.0 kg",Geostationary Transfer Orbit
,Kinéis 11-15,"NET November, 2024",,,,"Māhia Peninsula, New Zealand",Electron/Curie,https://storage.googleapis.com/nextspaceflight/media/rockets/Electron_Curie.webp,Image Credit: Rocket Lab,Active,$7.5 million,224 kN,320 kg,,3,0,18.0 m,1.2 m,4.05 m,/rockets/4,4,Kinéis 11-15,"Third batch of five satellites for the French Kinéis IoT constellation designed to operate with 25 nanosatellites of 30 kg each. The constellation will enable Kinéis, a company backed by private and public investors including the French government’s space agency CNES (Centre National d'Études Spatiales) and CLS (Collecte Localisation Satellites) an international space-based solutions provider, to improve its global IoT connectivity.",5,150.0 kg,Low Earth Orbit
,425 Project Flight 3,"NET November, 2024",,{'24/7 Livestream': 'https://www.youtube.com/watch?v=Jm8wRjD3xVA'},,"SLC-40 or LC-39A, Florida, USA",Falcon 9 Block 5,https://storage.googleapis.com/nextspaceflight/media/rockets/Falcon_9_Block_5.webp,Image Credit: SpaceX,Active,$69.75 million,"7,607 kN","22,800 kg","8,300 kg",2,0,70.0 m,5.2 m,13.0 m,/rockets/3,3,425 Project Flight 3,"Launch of the third satellite in a contract of 5 reconnaissance satellites for the South Korean Defense Acquisition Program Administration (DAPA), with 1 satellite featuring an electro-optical infrared (EO/IR) telescope. The other 4 synthetic aperture radar (SAR) satellites are to be launched at a later date.",1,800.0 kg,Sun-Synchronous Orbit
,Maiden Flight,"NET November, 2024",First launch of New Glenn.,{'24/7 Livestream': 'https://www.youtube.com/watch?v=Jm8wRjD3xVA'},,"LC-36, Cape Canaveral SFS, Florida, USA",New Glenn,https://storage.googleapis.com/nextspaceflight/media/rockets/New_Glenn.webp,Image Credit: Blue Origin,Planned,,"17,150 kN","45,000 kg","13,000 kg",2,0,98.0 m,7.0 m,21.9 m,/rockets/67,67,Maiden Flight,"Maiden flight of the New Glenn launch vehicle. Will carry the prototype Blue Ring payload tug and payload hoisting platform, in addition to serving as New Glenn's first National Security Space Launch certification flight.",,,
,Sentinel-1C,"Tue Dec 03, 2024 21:20 UTC","Originally intended to launch on the Russian Soyuz launch vehicle, due to geopolitical factors this is no longer an option. ESA instead opted to launch aboard Vega-C.",,,"ELV, Guiana Space Centre, French Guiana, France",Vega C,https://storage.googleapis.com/nextspaceflight/media/rockets/Vega-C.webp,,Active,,"4,500 kN","2,300 kg",,4,0,35.0 m,3.3 m,9.0 m,/rockets/31,31,Sentinel-1C,"Sentinel-1C will provide all-weather, day, and night radar imaging for land and ocean services.",1,"2,300.0 kg",Sun-Synchronous Orbit
,Flight 2,"Sat Dec 14, 2024 02:00 UTC",Payload to be confirmed.,,,"Space One Launch Pad, Space Port Kii, Japan",KAIROS,https://storage.googleapis.com/nextspaceflight/media/rockets/KAIROS.webp,Image Credit: Space One,Active,$9.0 million,,250 kg,,4,0,18.0 m,1.5 m,4.0 m,/rockets/297,297,Flight 2,Second flight of the KAIROS launch vehicle. Payload is TBD.,,,Sun-Synchronous Orbit
,NZSA Venus Mission,"NET Dec 30, 2024","First private Venus mission. First interplanetary mission launched on Electron, and from New Zealand.",,,"Māhia Peninsula, New Zealand",Electron/Explorer,https://storage.googleapis.com/nextspaceflight/media/rockets/Electron_Explorer.webp,Image Credit: Rocket Lab,Active,$7.5 million,224 kN,320 kg,,3,0,18.0 m,1.2 m,4.05 m,/rockets/4,4,NZSA Venus Mission,Rocket Lab will launch a scientific mission based on its Photon upper stage to Venus.,1,,Heliocentric Orbit
,CSO-3,"NET December, 2024","Originally intended to launch on the Russian Soyuz launch vehicle, due to geopolitical factors this is no longer an option. CNES & DGA instead opted to launch aboard Ariane 62.",,,"ELA-4, Guiana Space Centre, French Guiana, France",Ariane 62,https://storage.googleapis.com/nextspaceflight/media/rockets/Ariane_62.webp,Image Credit: Arianespace,Active,$88.0 million,"8,370 kN","10,350 kg","4,500 kg",2,2,62.0 m,5.4 m,20.0 m,/rockets/92,92,CSO-3,The French CSO (Composante Spatiale Optique) high-resolution reconnaissance satellites are the optical space component of the MUSIS program that will replace the current Hélios 2 military observation satellites.,1,"3,655.0 kg",Sun-Synchronous Orbit
,Glonass-K2 n°14L,"NET December, 2024",,,,"Plesetsk Cosmodrome, Russia",Soyuz 2.1b/Fregat-M,https://storage.googleapis.com/nextspaceflight/media/rockets/Soyuz_2.1b-Fregat-M.webp,Image Credit: Roscosmos,Active,$25.0 million,"4,550 kN","7,500 kg","3,250 kg",4,4,46.94 m,4.11 m,11.43 m,/rockets/142,142,Glonass-K2 n°14L,"GLONASS-K is the latest satellite design intended as a part of the Russian GLONASS radio-based satellite navigation system. Developed by ISS Reshetnev (Reshetnev Information Satellite Systems) and first launched on 26 February 2011, it is a substantial improvement of the previous GLONASS-M second-generation satellites, having a longer lifespan and better accuracy.",1,,Medium Earth Orbit
,CRS SpX-32,"NET December, 2024",,{'24/7 Livestream': 'https://www.youtube.com/watch?v=Jm8wRjD3xVA'},,"SLC-40 or LC-39A, Florida, USA",Falcon 9 Block 5,https://storage.googleapis.com/nextspaceflight/media/rockets/Falcon_9_Block_5.webp,Image Credit: SpaceX,Active,$69.75 million,"7,607 kN","22,800 kg","8,300 kg",2,0,70.0 m,5.2 m,13.0 m,/rockets/3,3,CRS SpX-32,SpaceX CRS-32 is a Commercial Resupply Service mission to the International Space Station. The mission is contracted by NASA and will be flown by SpaceX using a Cargo Dragon.,1,,Low Earth Orbit
,HAKUTO-R M2 “Resilience”,"NET December, 2024",,{'24/7 Livestream': 'https://www.youtube.com/watch?v=Jm8wRjD3xVA'},,"SLC-40 or LC-39A, Florida, USA",Falcon 9 Block 5,https://storage.googleapis.com/nextspaceflight/media/rockets/Falcon_9_Block_5.webp,Image Credit: SpaceX,Active,$69.75 million,"7,607 kN","22,800 kg","8,300 kg",2,0,70.0 m,5.2 m,13.0 m,/rockets/3,3,HAKUTO-R M2 “Resilience”,"HAKUTO-R is a multinational commercial lunar exploration program operated by ispace. It includes ispace's first two lunar missions, the second mission will perform a soft landing on the Moon and deployment of a rover developed by ispace in 2024. In addition to its studies on the moon's surface, the rover is expected to collect lunar regolith as part of a contract with NASA signed in 2020 in which companies will collect materials on the moon and then transfer ownership ""in situ"" to the agency.",,,
,SPAINSAT New Generation I,"NET December, 2024",,{'24/7 Livestream': 'https://www.youtube.com/watch?v=Jm8wRjD3xVA'},,"SLC-40 or LC-39A, Florida, USA",Falcon 9 Block 5,https://storage.googleapis.com/nextspaceflight/media/rockets/Falcon_9_Block_5.webp,Image Credit: SpaceX,Active,$69.75 million,"7,607 kN","22,800 kg","8,300 kg",2,0,70.0 m,5.2 m,13.0 m,/rockets/3,3,SPAINSAT New Generation I,"SPAINSAT NG is Hisdesat's largest project since its foundation. Its technological complexity and strategic relevance will position the company as an international benchmark in satellite communications. The new Spainsat NG generation will multiply by 16 times the capacity in X and Ka military band with respect to the current devices and will add a new payload in UHF band. In addition, it will operate with active X-band antennas in receive and transmit. Pioneers in the European aerospace sector, each of them will be assigned 16 different areas of operation to perform their coverage services with electronic configuration.",1,"6,100.0 kg",Geostationary Transfer Orbit
,Bandwagon-2,"NET December, 2024",,{'24/7 Livestream': 'https://www.youtube.com/watch?v=Jm8wRjD3xVA'},,"SLC-40 or LC-39A, Florida, USA",Falcon 9 Block 5,https://storage.googleapis.com/nextspaceflight/media/rockets/Falcon_9_Block_5.webp,Image Credit: SpaceX,Active,$69.75 million,"7,607 kN","22,800 kg","8,300 kg",2,0,70.0 m,5.2 m,13.0 m,/rockets/3,3,Bandwagon-2,"Bandwagon-2 is a dedicated rideshare mission by SpaceX. SpaceX’s SmallSat Rideshare Program provides small satellite operators with regularly scheduled, dedicated Falcon 9 rideshare missions to mid-inclination orbits for ESPA class payloads for as low as $300,000 per mission, which includes up to 50kg of payload mass.",,,Low Earth Orbit
,Kinéis 16-20,"NET December, 2024",,,,"Māhia Peninsula, New Zealand",Electron/Curie,https://storage.googleapis.com/nextspaceflight/media/rockets/Electron_Curie.webp,Image Credit: Rocket Lab,Active,$7.5 million,224 kN,320 kg,,3,0,18.0 m,1.2 m,4.05 m,/rockets/4,4,Kinéis 16-20,"Fourth batch of five satellites for the French Kinéis IoT constellation designed to operate with 25 nanosatellites of 30 kg each. The constellation will enable Kinéis, a company backed by private and public investors including the French government’s space agency CNES (Centre National d'Études Spatiales) and CLS (Collecte Localisation Satellites) an international space-based solutions provider, to improve its global IoT connectivity.",5,150.0 kg,Low Earth Orbit
,Tianzhou 8,"NET December, 2024",,,,"LC-201, Wenchang Space Launch Site, China",Long March 7,https://storage.googleapis.com/nextspaceflight/media/rockets/Long_March_7_rocket.webp,Image Credit: CASC,Active,,"7,128 kN","13,500 kg","5,500 kg",2,4,53.1 m,4.2 m,12.4 m,/rockets/125,125,Tianzhou 8,"The Tianzhou (Chinese: 天舟; lit. 'Heavenly Ship') is a Chinese automated cargo spacecraft developed from China's first prototype space station Tiangong-1 to resupply its future modular space station. It was first launched (Tianzhou 1) on the Long March 7 rocket on April 20, 2017, and demonstrated autonomous propellant transfer (space refueling).",1,"13,000.0 kg",Low Earth Orbit
,Demo Flight,"NET December, 2024",,,,"Commercial LC-1, Wenchang Space Launch Site, China",Long March 8A,https://storage.googleapis.com/nextspaceflight/media/rockets/default.jpg,,Planned,,"4,894 kN","8,400 kg",,2,2,50.54 m,5.2 m,,/rockets/126,126,,,,,
,SPADEX,"NET December, 2024",Launch vehicle variant has not been confirmed,,,"Satish Dhawan Space Centre, India",PSLV-CA,https://storage.googleapis.com/nextspaceflight/media/rockets/PSLV_CA.webp,,Active,$21.0 million,"4,847 kN",,,4,0,44.0 m,3.2 m,8.3 m,/rockets/34,34,SPADEX,"ISRO's Space Docking Experiment (SPADEX) mission comprises two satellites weighing 200 kg each: a Chaser and a Target. One satellite will attempt to dock with the other, testing this crucial capability for ISRO's upcoming Indian Space Station and Chandrayaan-4 missions.",2,400.0 kg,
,Resurs-P No.5,"NET 4th Quarter, 2024",,,,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",Soyuz 2.1b,https://storage.googleapis.com/nextspaceflight/media/rockets/soyuz_2.1b.webp,Image Credit: Roscosmos,Active,$20.0 million,"4,550 kN","8,020 kg",0 kg,3,4,44.08 m,4.11 m,8.36 m,/rockets/142,142,Resurs-P No.5,Resurs-P is a series of Russian commercial Earth observation satellites capable of acquiring high-resolution imagery (resolution up to 1.0 m). The spacecraft is operated by Roscosmos as a replacement for the Resurs-DK No.1 satellite.,1,"6,570.0 kg",Sun-Synchronous Orbit
,Obzor-R n°1 & Others,"NET 4th Quarter, 2024",,,,"Plesetsk Cosmodrome, Russia",Soyuz 2.1a,https://storage.googleapis.com/nextspaceflight/media/rockets/Soyuz_2.1a_Crew.webp,Image Credit: Roscosmos,Active,$17.42 million,"4,550 kN","7,500 kg",0 kg,3,4,51.38 m,4.11 m,15.59 m,/rockets/141,141,Obzor-R n°1,The Russian Obzor-R satellite is a planned X-band radar earth observation satellite designed by TsSKB-Progress.,1,,Sun-Synchronous Orbit
