rocket_name,rocket_details_link,rocket_id,description,missions,successes,partial_failures,failures,success_streak,success_rate,configurations
Ariane 6,https://nextspaceflight.com/rockets/92,92,"Ariane 6 is a European expendable launch system currently under development by ArianeGroup on behalf of the European Space Agency (ESA). It is intended to replace the Ariane 5, as part of the Ariane launch vehicle family. Ariane 6 is designed with two core stages both powered by liquid hydrogen-liquid oxygen (hydrolox) engines. The first stage has an improved version of the Vulcain engine already used on the Ariane 5, whilst the second stage has a newly-designed Vinci engine. Most of the initial lift-off thrust is provided by solid rocket boosters attached to the first stage: either two or four P120s (Ariane 62 and Ariane 64 variants respectively), which are larger versions of the P80s used on the Vega rocket.",1.0,0.0,1.0,0.0,0.0,50.0%,"['Ariane 62', 'Ariane 64', 'Ariane 64/Icarus']"
ASLV,https://nextspaceflight.com/rockets/33,33,"The Augmented Satellite Launch Vehicle or Advanced Satellite Launch Vehicle, also known as ASLV, was a Small-lift launch vehicle five-stage solid-fuel rocket developed by the Indian Space Research Organisation (ISRO) to place 150 kg satellites into LEO. ISRO did not have sufficient funds for both the Polar Satellite Launch Vehicle program and the ASLV program at the same time and the ASLV program was terminated after the initial developmental flights.",4.0,1.0,1.0,2.0,1.0,37.5%,['ASLV']
Athena I,https://nextspaceflight.com/rockets/68,68,"The Athena I is a three-stage rocket, consisting of solid first and second stages, and a monopropellant liquid-fuelled third stage. The first stage is a Castor 120, which is also used on some versions of the Taurus rocket. An Orbus 21D motor was used as the second stage on launches up to 2001. The third stage is an Orbital Adjustment Module, fuelled by hydrazine and propelled by four MR-107 engines.",4.0,3.0,0.0,1.0,3.0,75.0%,['Athena I']
Athena II,https://nextspaceflight.com/rockets/93,93,"The Athena II is a four-stage rocket, consisting of solid first, second and third stages, and a monopropellant liquid-fuelled fourth stage. The first and second stages are Castor 120s, which are also used on some versions of the Taurus rocket. An Orbus 21D motor was used as the third stage on launches during the 1990s. The fourth stage is an Orbital Adjustment Module, fuelled by hydrazine and propelled by four MR-107 engines, which is used for final insertion.",3.0,2.0,0.0,1.0,1.0,66.7%,['Athena II']
Atlas-Able,https://nextspaceflight.com/rockets/204,204,"The Atlas-Able was an American expendable launch system derived from the SM-65 Atlas missile. It was a member of the Atlas family of rockets and was used to launch several Pioneer spacecraft towards the Moon. The Atlas-Able was a three-and-a-half-stage rocket, with a stage-and-a-half Atlas missile as the first stage, an Able second stage, and an Altair third stage. The first Atlas-Able used an Atlas C as the first stage, but this exploded during a static fire test. The remaining launches used Atlas D missiles.",3.0,0.0,0.0,3.0,0.0,0%,['Atlas-D Able']
Atlas-Agena,https://nextspaceflight.com/rockets/205,205,"The Atlas-Agena was an American expendable launch system derived from the SM-65 Atlas missile. It was used to launch the first five Mariner uncrewed probes to the planets Venus and Mars, and the Ranger and Lunar Orbiter uncrewed probes to the Moon. The upper stage was also used as an uncrewed orbital target vehicle for the Gemini crewed spacecraft to practice rendezvous and docking. However, the launch vehicle family was originally developed for the Air Force and most of its launches were classified DoD payloads. The Atlas-Agena was a two-and-a-half-stage rocket, with a stage-and-a-half Atlas missile as the first stage, and an RM-81 Agena second stage. Initially, Atlas D missiles, redesignated as the LV-3, were used as the first stage. These were later replaced by the standardized Atlas SLV-3, and its derivatives, the SLV-3A and B. The final Atlas-Agena launch used an Atlas E/F.",109.0,89.0,5.0,15.0,7.0,83.9%,"['Atlas-E/F Agena D', 'Atlas-LV3 Agena-A', 'Atlas-LV3 Agena-B', 'Atlas-LV3 Agena-D', 'Atlas-SLV3A Agena-D', 'Atlas-SLV3 Agena-B', 'Atlas-SLV3 Agena-D', 'Atlas-SLV3B Agena-D']"
Atlas-Altair,https://nextspaceflight.com/rockets/181,181,The Atlas E/F (or SB-1A) was an American expendable launch system built using parts of decommissioned SM-65 Atlas missiles. An Atlas E/F with an Altair-3A upper stage was used to launch three Stacksat spacecraft.,1.0,1.0,0.0,0.0,1.0,100%,['Atlas-E/F Altair']
Atlas-Burner,https://nextspaceflight.com/rockets/220,220,The Atlas E/F (or SB-1A) was an American expendable launch system built using parts of decommissioned SM-65 Atlas missiles.,2.0,1.0,0.0,1.0,1.0,50.0%,"['Atlas-E/F Burner', 'Atlas-SLV3 Burner-2']"
Atlas-Centaur,https://nextspaceflight.com/rockets/222,222,"The Atlas-Centaur was a US expendable launch vehicle derived from the SM-65 Atlas D missile. Convair, the manufacturer of the Atlas, developed the Centaur upper stage specifically for that booster, sharing its pressure stabilized tank structure. Centaur was the first rocket stage to utilize liquid hydrogen (LH2) and liquid oxygen (LOX) as propellants. Despite high performance, LH2 had to be chilled at extremely low temperatures (lower than LOX) and its low density meant that large fuel tanks were needed.",68.0,55.0,4.0,9.0,1.0,83.8%,"['Atlas-G Centaur-D1AR', 'Atlas-LV3C Centaur-A', 'Atlas-LV3C Centaur-B', 'Atlas-LV3C Centaur-C', 'Atlas-LV3C Centaur-D', 'Atlas-SLV3C Centaur-D', 'Atlas-SLV3D Centaur-D1A', 'Atlas-SLV3D Centaur-D1AR']"
Atlas I,https://nextspaceflight.com/rockets/229,229,"The Atlas I was a US expendable launch system manufactured by General Dynamics in the 1990s to launch a variety of satellites. Though the Atlas I was marketed as a new rocket, it was mostly a re-brand of the Atlas G/H for commercial payloads. The Atlas G and H launched mostly governmental satellites. Atlas I was the last use of the classic Atlas design with three engines, a jettisonable booster section, and two vernier engines. Atlas II, while retaining most of those features, replaced the verniers with a hydrazine roll control system.",11.0,8.0,0.0,3.0,6.0,72.7%,['Atlas I']
Atlas II,https://nextspaceflight.com/rockets/228,228,"Atlas II was a member of the Atlas family of launch vehicles, which evolved from the successful Atlas missile program of the 1950s. It was designed to launch payloads into low earth orbit, geosynchronous transfer orbit, or geosynchronous orbit. The Vernier engines on the first stage of the Atlas I were replaced by a hydrazine fueled roll control system. This series used an improved Centaur II upper stage, the world's first cryogenic propellant stage, to increase its payload capability. Atlas II also had lower-cost electronics, an improved flight computer, and longer propellant tanks than its predecessor, Atlas I.",63.0,63.0,0.0,0.0,63.0,100%,"['Atlas II', 'Atlas IIA', 'Atlas IIAS']"
Atlas III,https://nextspaceflight.com/rockets/95,95,"The Atlas III (known as the Atlas II-AR (R for Russian) early in development) was an American orbital launch vehicle, used in the years between 2000 and 2005. It was the first member of the Atlas family since the Atlas A to feature a ""normal"" staging method, compared to the previous Atlas family members, which were equipped with two jettisonable outboard engines on the first (booster) stage (with a single center engine serving as the sustainer). The first stage engines were Russian RD-180s, which are also used by the Atlas V. The Atlas III was produced in two versions. The baseline was the Atlas IIIA, but the Atlas IIIB, featuring a twin-engine version of the Centaur upper stage, was also produced.",6.0,6.0,0.0,0.0,6.0,100%,"['Atlas IIIA', 'Atlas IIIB']"
Atlas LV-3B,https://nextspaceflight.com/rockets/94,94,"The Atlas SLV-3 or SLV-3 Atlas was an American expendable launch system derived from the SM-65 Atlas / SM-65D Atlas missile. Most space launcher variants of the Atlas up to 1965 were derived from the D-series Atlas ICBM with custom modifications for the needs of the particular mission. The SLV-3 would use a standardized configuration based on the Atlas D missile for all launches with the exception of different widths for the top of the rocket depending on the upper stage being flown. The SLV-3 had thicker gauge tank walls to support the weight of upper stages as well as upgraded engines and removal of unneeded ICBM hardware such as retrorockets. Although the main engines had greater thrust, the verniers were detuned slightly in the interest of improved ISP (vacuum specific impulse).",10.0,7.0,1.0,2.0,6.0,75.0%,['Atlas-D Mercury']
Atlas-MSD,https://nextspaceflight.com/rockets/232,232,The Atlas E/F (or SB-1A) was an American expendable launch system built using parts of decommissioned SM-65 Atlas missiles. Atlas E/F rockets with MSD upper stages were used for nine launches.,9.0,8.0,0.0,1.0,5.0,88.9%,"['Atlas-E/F MSD', 'Atlas-H MSD']"
Atlas-OIS,https://nextspaceflight.com/rockets/233,233,The Atlas E/F (or SB-1A) was an American expendable launch system built using parts of decommissioned SM-65 Atlas missiles. The OIS upper stage was used for two Atlas E/F launches.,2.0,2.0,0.0,0.0,2.0,100%,['Atlas-E/F OIS']
Atlas-OV1,https://nextspaceflight.com/rockets/212,212,"The Atlas E/F (or SB-1A) was an American expendable launch system built using parts of decommissioned SM-65 Atlas missiles. The Atlas E/F was used between 1968 and 1971 to launch OV1 satellites, using OV1 upper stages. Each payload had its own upper stage.",11.0,7.0,2.0,2.0,4.0,72.7%,"['Atlas-D OV1', 'Atlas-E/F OV1']"
Atlas-PTS,https://nextspaceflight.com/rockets/234,234,The Atlas E/F (or SB-1A) was an American expendable launch system built using parts of decommissioned SM-65 Atlas missiles. The PTS upper stage was used to launch the NTS-1 satellite.,1.0,1.0,0.0,0.0,1.0,100%,['Atlas-E/F PTS']
Atlas-SGS,https://nextspaceflight.com/rockets/235,235,"The Atlas E/F (or SB-1A) was an American expendable launch system built using parts of decommissioned SM-65 Atlas missiles. The SGS upper stage, which consisted of two series-burning solid rocket motors, was used on twelve Atlas E/F launches, with early GPS satellites.",12.0,11.0,0.0,1.0,4.0,91.7%,"['Atlas-E/F SGS-1', 'Atlas-E/F SGS-2']"
Atlas SLV-3,https://nextspaceflight.com/rockets/213,213,The Atlas E/F (or SB-1A) was an American expendable launch system built using parts of decommissioned SM-65 Atlas missiles. The Star was used to propel most of the other upper stages used on the Atlas E/F.,1.0,1.0,0.0,0.0,1.0,100%,['Atlas SLV-3']
Atlas-Star,https://nextspaceflight.com/rockets/236,236,The Atlas E/F (or SB-1A) was an American expendable launch system built using parts of decommissioned SM-65 Atlas missiles. The Star was used to propel most of the other upper stages used on the Atlas E/F.,20.0,18.0,0.0,2.0,16.0,90.0%,"['Atlas-E/F Star-17A', 'Atlas-E/F Star-37S-ISS']"
Atlas V,https://nextspaceflight.com/rockets/25,25,"Atlas V is an expendable launch system and the fifth major version in the Atlas rocket family. It was originally designed by Lockheed Martin, now being operated by United Launch Alliance (ULA), a joint venture between Lockheed and Boeing. Each Atlas V rocket consists of two main stages. The first stage is powered by a Russian RD-180 engine manufactured by RD Amross and burning kerosene and liquid oxygen. The Centaur upper stage is powered by one or two United States RL10 engine(s) manufactured by Aerojet Rocketdyne and burning liquid hydrogen and liquid oxygen. AJ-60A strap-on solid rocket boosters (SRBs) have been used in some configurations, but are being phased out in favor of GEM-63 SRBs.",101.0,100.0,1.0,0.0,91.0,99.5%,"['Atlas V 401', 'Atlas V 411', 'Atlas V 421', 'Atlas V 431', 'Atlas V 501', 'Atlas V 511', 'Atlas V 521', 'Atlas V 531', 'Atlas V 541', 'Atlas V 551', 'Atlas V N22']"
Black Arrow,https://nextspaceflight.com/rockets/64,64,"Black Arrow was a British satellite carrier rocket developed during the 1960s. Black Arrow was a three-stage rocket, fuelled by RP-1 paraffin (kerosene) and high test peroxide, a concentrated form of hydrogen peroxide (85% hydrogen peroxide + 15% water). It was retired after only four launches in favor of using American Scout rockets, which the Ministry of Defence calculated to be cheaper than maintaining the Black Arrow program.",2.0,1.0,0.0,1.0,1.0,50.0%,['Black Arrow']
Blue Scout II,https://nextspaceflight.com/rockets/211,211,The RM-90 Blue Scout II was an American sounding rocket and expendable launch system. It was used for the launch of the Mercury-Scout 1 satellite for NASA. It was a member of the Scout family of rockets.,1.0,0.0,0.0,1.0,0.0,0%,['Blue Scout II']
Ceres 1,https://nextspaceflight.com/rockets/225,225,"Ceres-1 is a four-stage rocket, the first three stages use solid-propellant rocket motors and the final stage uses a hydrazine propulsion system. It is about 19 metres (62 ft) tall and 1.4 metres (4 ft 7 in) in diameter. It can deliver about 350 kilograms (770 lb) to low Earth orbit.",15.0,14.0,0.0,1.0,5.0,93.3%,"['Ceres 1', 'Ceres 1S']"
Chŏllima,https://nextspaceflight.com/rockets/288,288,"New, more powerful North Korean launcher, capable of sending a larger payload into orbit than the previous Unha launcher. Little information has been released about the rocket architecture. It is named after a mythical horse of extreme endurance.",4.0,1.0,0.0,3.0,0.0,25.0%,['Chŏllima 1']
Conestoga 1,https://nextspaceflight.com/rockets/184,184,"The Conestoga was a launch vehicle design funded by Space Services Inc. of America (SSIA) of Houston, Texas. Conestoga originally consisted of surplus LGM-30 Minuteman stages with additional strap-on boosters, as required for larger payloads. It was the world's first privately funded commercial rocket but was launched only three times (once as a modified design) before the program was shut down.",1.0,0.0,0.0,1.0,0.0,0%,['Conestoga 1620']
Cosmos-1,https://nextspaceflight.com/rockets/208,208,The Kosmos-1 (also known as Cosmos-1) was a Soviet carrier rocket derived from the R-14 missile. It served as an interim and was quickly replaced by the Kosmos-3.,38.0,26.0,0.0,12.0,3.0,68.4%,['Cosmos-1 (65S3)']
Cosmos-2I,https://nextspaceflight.com/rockets/209,209,"Kosmos-2I (also known as Cosmos-2I) is the designation applied to two Soviet carrier rockets, members of the R-12 Kosmos (rocket family), which were used to orbit satellites between 1961 and 1977. They were superseded by the R-14 derived Kosmos-3 and Kosmos-3M.",126.0,118.0,0.0,8.0,14.0,93.7%,['Cosmos-2 (63SM)']
Cosmos-3,https://nextspaceflight.com/rockets/135,135,"The Cosmos-3 was a Soviet carrier rocket derived from the R-14 missile which was used to orbit satellites between 1966 and 1968. It was quickly replaced by the modernized Kosmos-3M. The Cosmos-3M is a Russian space launch vehicle. It is a liquid-fueled two-stage rocket, first launched in 1967. The Kosmos-3M uses UDMH fuel and AK27I oxidizer (red fuming nitric acid) to lift roughly 1,400 kg (3,100 lb) of payload into orbit. It differed from the earlier Kosmos-3 in its finer control of the second-stage burn, allowing operators to tune the thrust and even channel it through nozzles that helped orient the rocket for the launching of multiple satellites at one time. PO Polyot manufactured these launch vehicles in the Russian town of Omsk for decades. The launch vehicle was retired in 2010.",479.0,450.0,8.0,21.0,22.0,94.8%,"['Cosmos-3', 'Cosmos-3M', 'K65M-RB5']"
Cyclone-4M,https://nextspaceflight.com/rockets/215,215,"The Cyclone-4M is a Ukrainian carrier rocket that is being developed for commercial satellite launches. The Cyclone-4M is derived from the Tsyklon-4, which started its life as an all-hypergolic three-stage-to-orbit expendable launch vehicle planned for launch from a proposed site at the Alcântara Launch Center in Brazil. However, Brazil backed out of the partnership with Ukraine in 2015, citing concerns over the project budget, the ongoing financial situation in both countries, and the future of the commercial launch market. In March 2017, Canadian company Maritime Launch Services announced plans to begin launching a modified version, the Cyclone-4M, which features a Zenit-derived kerolox (LOX / RP-1) first stage in place of the originally planned R-36 ICBM-based first- and second-stage.",,,,,,,['Tsyklon-4M']
Delta 0100 Series,https://nextspaceflight.com/rockets/267,267,,5.0,4.0,0.0,1.0,1.0,80.0%,"['Delta 300', 'Delta 900']"
Delta 1000 Series,https://nextspaceflight.com/rockets/263,263,,8.0,8.0,0.0,0.0,8.0,100%,"['Delta 1410', 'Delta 1604', 'Delta 1900', 'Delta 1910', 'Delta 1913', 'Delta 1914']"
Delta 2000 Series,https://nextspaceflight.com/rockets/264,264,,44.0,42.0,1.0,1.0,17.0,96.6%,"['Delta 2310', 'Delta 2313', 'Delta 2910', 'Delta 2913', 'Delta 2914']"
Delta 3000 Series,https://nextspaceflight.com/rockets/202,202,"Several variants existed, which were differentiated by a four digit numerical code. The first stage was the RS-27 powered Extended Long Tank Thor, first flown on the 2000-series. Three or nine Castor-4 solid rocket boosters were attached to increase thrust at lift-off, replacing the less powerful Castor-2 boosters used on earlier models. Two second stages were available; the Delta-P, which had been flown on the Delta 1000 and 2000 series, or the Delta-K, an uprated version with the Aerojet engine. Some launches used a three-stage configuration in order to reach higher orbits. A Star-37D, Star-37E, or Star-48B PAM-D could be used as an upper stage. Launches with PAM-D upper stages were designated Delta 3XX0 PAM-D, rather than assigning a code to the upper stage for use in the four-digit sequence. From the 4000-series onwards, the PAM-D received the upper stage code ""5"", however this was not applied retrospectively to 3000-series rockets.",38.0,36.0,0.0,2.0,5.0,94.7%,"['Delta 3910', 'Delta 3913', 'Delta 3914', 'Delta 3920', 'Delta 3920-8', 'Delta 3924']"
Delta 4000 Series,https://nextspaceflight.com/rockets/169,169,The Delta 4000-series and 5000-series were developed in the aftermath of the Challenger disaster and consisted of a combination of 3000-era and Delta II-era components. The first stage had the MB-3 main engine and Extended Long Tank of the 3000-series and mounted upgraded Castor 4A motors. The new Delta K second stage was also included.,2.0,2.0,0.0,0.0,2.0,100%,['Delta 4925-8']
Delta 5000 Series,https://nextspaceflight.com/rockets/265,265,,1.0,1.0,0.0,0.0,1.0,100%,['Delta 5920-8']
Delta A,https://nextspaceflight.com/rockets/244,244,"The first stage was a Thor missile in the DM-21 configuration, and the second stage was the Delta A, an uprated version of the original Delta. An Altair solid rocket motor was used as a third stage.",2.0,2.0,0.0,0.0,2.0,100%,['Delta A']
Delta B,https://nextspaceflight.com/rockets/245,245,"The first stage was a Thor missile in the DM-21 configuration, and the second stage was the Delta D, which was derived from the earlier Delta. An Altair solid rocket motor was used as a third stage.",9.0,8.0,0.0,1.0,0.0,88.9%,['Delta B']
Delta C,https://nextspaceflight.com/rockets/248,248,"The first stage was a Thor missile in the DSV-2A configuration, and the second stage was the Delta D, which was derived from the earlier Delta. The baseline Delta C used an Altair-2 third stage, whilst the Delta C1 had an FW-4D third stage, which provided a higher payload capacity than the Altair. It is unclear whether two or three launches were made using the C1 configuration.",13.0,11.0,1.0,1.0,5.0,88.5%,"['Delta C', 'Delta C1']"
Delta D,https://nextspaceflight.com/rockets/254,254,"The three-stage core vehicle was essentially the same as the Delta C. The first stage was a Thor missile in the DSV-2A configuration, and the second stage was the Delta D, which was derived from the earlier Delta. An Altair-2 SRM was used as a third stage. The main difference between the Delta C and Delta D was the presence of three Castor-1 solid rocket boosters, clustered around the first stage.",2.0,2.0,0.0,0.0,2.0,100%,['Delta D']
Delta E,https://nextspaceflight.com/rockets/268,268,,23.0,23.0,0.0,0.0,23.0,100%,"['Delta E', 'Delta E1']"
Delta G,https://nextspaceflight.com/rockets/269,269,,2.0,2.0,0.0,0.0,2.0,100%,['Delta G']
Delta II,https://nextspaceflight.com/rockets/7,7,"Delta II vehicles included the Delta 6000, and the two later Delta 7000 variants (""Light"" and ""Heavy""). The rocket flew its final mission ICESat-2 in September 2018, earning the launch vehicle a streak of 100 successful missions in a row, with the last failure being GPS IIR-1 in 1997. After the Challenger disaster, President Ronald Reagan announced in December 1986 that the Space Shuttle would no longer launch commercial payloads, and NASA would seek to purchase launches on expendable vehicles for missions that did not require crew or Shuttle support. Many of these launches thus were moved to Delta II. The rocket also launched numerous payloads for the United States Air Force including many Global Positioning System (GPS) satellites.",155.0,153.0,1.0,1.0,100.0,99.0%,"['Delta II 6920-10', 'Delta II 6920-8', 'Delta II 6925', 'Delta II 6925-8', 'Delta II 7320-10C', 'Delta II 7326', 'Delta II 7420-10C', 'Delta II 7425', 'Delta II 7425-10C', 'Delta II 7426', 'Delta II 7920-10', 'Delta II 7920-10C', 'Delta II 7920-10L', 'Delta II 7920-8', 'Delta II 7920H', 'Delta II 7920H-10C', 'Delta II 7925', 'Delta II 7925-10', 'Delta II 7925-10C', 'Delta II 7925-10L', 'Delta II 7925-8', 'Delta II 7925H']"
Delta III,https://nextspaceflight.com/rockets/170,170,"Delta III was an expendable launch vehicle made by Boeing. Payload to GTO (Geostationary-Transfer Orbit) was doubled versus the Delta II but the consecutive failures of the initial Delta IIIs, combined with the more-advanced Delta IV program and the continuing success of the Delta II, left the Delta III as an interim vehicle. Under the four-digit designation system from earlier Delta rockets, the Delta III is classified as the Delta 8930.",3.0,1.0,0.0,2.0,1.0,33.3%,['Delta III 8930']
Delta IV Heavy,https://nextspaceflight.com/rockets/98,98,"The Delta IV Heavy consists of a central Common Booster Core (CBC), with two additional CBCs as liquid rocket boosters instead of the GEM-60 solid rocket motors used by the Delta IV Medium+ versions. Each CBC uses a single RS-68 engine. The Delta IV Heavy uses the same Delta Cryogenic Second Stage (DCSS) as the Delta IV Medium+ rockets. The rocket is currently being phased out in favor of United Launch Alliance's Vulcan rocket, which offers more competitive pricing for the same capability.",16.0,15.0,1.0,0.0,15.0,96.9%,['Delta IV Heavy']
Delta IV Medium,https://nextspaceflight.com/rockets/97,97,"While the Delta IV retains the name of the Delta family of rockets, major changes were incorporated. Perhaps the most significant change was the switch from kerosene to liquid hydrogen fuel, with new tankage and a new engine required. The Delta IV Medium (Delta 9040) was the most basic Delta IV. It featured a single CBC and a modified Delta III second stage, with 4-meter liquid hydrogen and liquid oxygen tanks (called a Delta Cryogenic Second Stage (DCSS)) and a 4-meter payload fairing. The Delta IV Medium+ (4,2) (Delta 9240) had the same CBC and DCSS as the Medium, but with the addition of two 1.5-m (60-in) diameter solid rocket booster Graphite-Epoxy Motors (GEM-60s) strap-on boosters. The Delta IV Medium+ (5,2) (Delta 9250) was similar to the Medium+ (4,2), but had a 5-m–diameter DCSS and payload fairing for larger payloads. The Delta IV Medium+ (5,4) (Delta 9450) was similar to the Medium+ (5,2), but used four GEM-60s instead of two.",29.0,29.0,0.0,0.0,29.0,100%,"['Delta IV Medium', 'Delta IV Medium+ (4,2)', 'Delta IV Medium+ (5,2)', 'Delta IV Medium+ (5,4)']"
Delta J,https://nextspaceflight.com/rockets/270,270,,1.0,1.0,0.0,0.0,1.0,100%,['Delta J']
Delta L,https://nextspaceflight.com/rockets/272,272,,2.0,1.0,0.0,1.0,1.0,50.0%,['Delta L']
Delta M,https://nextspaceflight.com/rockets/266,266,,13.0,11.0,0.0,2.0,8.0,84.6%,"['Delta M', 'Delta M6']"
Delta N,https://nextspaceflight.com/rockets/271,271,,9.0,8.0,0.0,1.0,1.0,88.9%,"['Delta N', 'Delta N6']"
Diamant,https://nextspaceflight.com/rockets/66,66,"The Diamant rocket (Diamant is French for ""diamond"") was the first exclusively French expendable launch system and at the same time the first satellite launcher not built by either the United States or USSR. As such, it has been referred to as being a key predecessor for all subsequent European launcher projects. During 1962, development of the Diamant commenced as the inaugural spacecraft project of France's space agency, the Centre National d'Études Spatiales (CNES). As a project, it was derived from the military program Pierres précieuses (fr.: gemstones) that included the five prototypes Agate, Topaze, Emeraude, Rubis, and Saphir (Agate, Topaz, Emerald, Ruby, and Sapphire), and drew heavily upon the knowledge and technologies that had been previously developed.",12.0,9.0,1.0,2.0,3.0,79.2%,"['Diamant A', 'Diamant B', 'Diamant BP4']"
